occupationTmp,count
Assistant in Manager of Dyeworks,1
Assistant in Manufacturer,3
Assistant in Marine Store,1
Assistant in Meal-Flour Store,1
Assistant in Med. Hall,1
Assistant in Medical Hall,1
Assistant in Museum,1
Assistant in News Agents,1
Assistant in Newspaper Office and Aux. Postman,1
Assistant in Nursery (Garden),1
Assistant in Office,5
Assistant in Office Commercial,1
Assistant in Office and Shop Business,1
Assistant in Own House,1
Assistant in P O,3
Assistant in P Office,2
Assistant in P. O.,1
Assistant in P. Office,1
Assistant in P.O,2
Assistant in P.Office and Draper,2
Assistant in Packing Room,1
Assistant in Paper Factory,1
Assistant in Paper Ware House,1
Assistant in Pastry Shop,1
Assistant in Pawn Office,1
Assistant in Pension Laby,1
Assistant in Photography,1
Assistant in Post,1
Assistant in Post Office,15
Assistant in Postoffice,4
Assistant in Postofficer,1
Assistant in Printing Office,1
Assistant in Provision Business,1
Assistant in Provision Merchant Shop,2
Assistant in Provision Shop,6
Assistant in Provision Store,3
Assistant in Provision Stores,1
Assistant in Provision Warehouse,1
Assistant in Pub House,2
Assistant in Public Baths,1
Assistant in Public House,12
Assistant in Public house,5
Assistant in Rc Church Cleaning,1
Assistant in Reeling Room Mill,1
Assistant in Refreshment Rooms,1
Assistant in Restaurant,4
Assistant in Rope But Whouse,1
Assistant in Salesman,1
Assistant in School and House-Keeping,1
Assistant in Seed Shop,2
Assistant in She Housework,1
Assistant in Shep,1
Assistant in Shop Keeper and Farmer,2
Assistant in Shop and C,3
Assistant in Shop and Farm,1
Assistant in Shope,2
Assistant in Soap Factory,2
Assistant in Spinning,1
Assistant in Spirit Factory,1
Assistant in Spirit Store,2
Assistant in Spirit Trade,2
Assistant in Spirit Warehouseman,1
Assistant in Spl Grocery,1
Assistant in Stationary Trade,1
Assistant in Stationer,1
Assistant in Stationer Shop,1
Assistant in Stationers,1
Assistant in Stationery Establishment,1
Assistant in Stationery Shop,2
Assistant in Store,2
Assistant in Sub P O,1
Assistant in Sweet Factory,2
Assistant in Swg Shop,1
Assistant in Tailors Shop,1
Assistant in Timber Yard,1
Assistant in Tobacco Factory,1
Assistant in Tobacco Shop,1
Assistant in Victualler Stall,1
Assistant in Warehouse,5
Assistant in Wareroom,4
Assistant in Whisky Store,1
Assistant in Windin Room Factory,1
Assistant in Wine Shop,1
Assistant in Wine Store,2
Assistant in Wine and Spirit Stores,1
Assistant in Works,1
Assistant in Y W M ?,1
Assistant in Yarn Loft in Mill,1
Assistant in Yarn Store,1
Assistant in a Boot Shop,1
Assistant in a Spirit Store,1
Assistant in above,2
Assistant in above Buisness,1
Assistant in above Hotel,2
Assistant in at Shop,1
Assistant in shop,1
Assistant in the Cafe,1
Assistant in the Domestic use,1
Assistant in the Home,1
Assistant in the House,3
Assistant in the Shop,1
Assistant in the Stationery Business,1
Assistant in the drug trade,1
Assistant in undertakers Shop,1
Assistant manager of boot manufactory,1
Assistant of Arts Oxford,1
Assistant of Boot Trade,1
Assistant of Cafe,1
Assistant of Church,2
Assistant of College (D D),1
Assistant of Custom,1
Assistant of Customs,6
Assistant of Customs Customs Department,1
Assistant of Customs in His Majesty's Customs,1
Assistant of Excise,6
Assistant of Excise (I. Revenue Dept.),1
Assistant of Excise (I.Revenue),2
Assistant of Excise Inland Revenue,1
Assistant of Excise Inland Revenue Dept,1
Assistant of Farm,1
Assistant of Grocery and Provision House,2
Assistant of Ireland rev excel dept,1
Assistant of My Own,1
Assistant of Nurse in Asylum,1
Assistant of P. House,2
Assistant of Public House,1
Assistant of Spirit Grocer,1
Assistant on ? Farm,1
Assistant on Biscuit Factory,2
Assistant on Farm,91
Assistant on Farm Farmers Son,1
Assistant on Farmer,4
Assistant on Form,1
Assistant on Lighter,3
Assistant on Public House,1
Assistant on Shop,1
Assistant on a?,1
Assistant on the Farm,1
Assistant on the House,1
Assistant on the Land,1
Assistant or Farm,1
Assistant or Shopman,2
Assistant plumber,1
Assistant surveyes General Port Office,1
Assistant to,1
Assistant to Above,17
Assistant to Aforenamed,1
Assistant to Boot Sales,1
Assistant to Business,1
Assistant to Butcher,1
Assistant to C.P.S,1
Assistant to Cashier,1
Assistant to Chemist,2
Assistant to Cigar Merchant,1
Assistant to Clerk Crown Weall,1
Assistant to Clerk of Count Dealer,1
Assistant to Clerk of Union,2
Assistant to Clerk of the Crown and Peace Co Kerry,1
Assistant to Co Surveyor and Farmer,1
Assistant to Dairy,1
Assistant to Domestic General Servant,1
Assistant to Draper,2
Assistant to Drapery,3
Assistant to Dressmaking,1
Assistant to Drug Trade,1
Assistant to Engineer,1
Assistant to Farm,1
Assistant to Farmer,2
Assistant to Father,16
Assistant to Fitter,1
Assistant to Forewoman,1
Assistant to Gardener,1
Assistant to General Buisness,4
Assistant to Green Grocers,1
Assistant to Grocer,2
Assistant to Grocer and Spirit dealer,1
Assistant to Grocery,4
Assistant to Grocery and Spirit Store,2
Assistant to Harbour Master Cork,1
Assistant to Hd of Family,2
Assistant to Hd of Family in General,1
Assistant to Head,6
Assistant to Head of Family,5
Assistant to House,1
Assistant to Housekeeper,1
Assistant to Housewife,1
Assistant to Lady Supr,1
Assistant to Land Agent,2
Assistant to Leather Merchant,2
Assistant to Manfacturers Agent,1
Assistant to Marine S Dealer,1
Assistant to Marine Store Dealer,1
Assistant to Matron,1
Assistant to Merchant,2
Assistant to Milk,1
Assistant to Milliner,1
Assistant to Millnary Sales,1
Assistant to Mistress,1
Assistant to Mother,4
Assistant to No 1,4
Assistant to No. 1,1
Assistant to P M,4
Assistant to P. Master,3
Assistant to Pharmaceutcl Chemist,1
Assistant to Pharmaceutical Chemist,1
Assistant to Pharmacuetical Chemist,1
Assistant to Postmaster,3
Assistant to Postmistress,2
Assistant to Postmrs,1
Assistant to Proprietors,2
Assistant to Provision,1
Assistant to Publican,5
Assistant to Saddlery Business,2
Assistant to Sale Supt.,1
Assistant to Sanitary Engineer,1
Assistant to Secretary of a Steam Ship Co,1
Assistant to Shop,1
Assistant to Shop Spirit Grocery,1
Assistant to Shopkeeping,1
Assistant to Spirit Business,1
Assistant to Spirit Trade,1
Assistant to Sub Pm,1
Assistant to Sub Pmas,2
Assistant to Sub Pmr,1
Assistant to Sub Post Mistress,1
Assistant to Sub Postmaster,3
Assistant to Subpostmistress,1
Assistant to Survayor B.O.A,2
Assistant to Surveyor,2
Assistant to Teacher,1
Assistant to Timber Trade,1
Assistant to Tobacco Spinner,1
Assistant to Tobacconist,5
Assistant to Tobaconist,1
Assistant to Union Clerk,1
Assistant to Wholesale Drapery,1
Assistant to Wholesale Druggist,1
Assistant to Winding Master,1
Assistant to Woolen Draper,1
"Assistant to above ""Stationer""",1
Assistant to her Mother,3
Assistant to his Father,1
Assistant to the Grocery Business,1
Assistant unemployed,1
Assistant vice Principal and Clerk to Principals,1
Assistant wholesail Drapery Warelone,1
Assistant with Brother,1
"Assistant, Co Surveyon",1
"Assistant, Excise Br. Ireland Revenue",1
"Assistant, Grocery and Spirit Trade",1
"Assistant, Hotel Proprietress",1
"Assistant, House Keeper",1
"Assistant, Shopkeeper",1
"Assistant, Stationers",1
Assistant-Analist,1
Assistant-Bakery Manager,1
Assistant-Boot Establishment (Unemployed),1
Assistant-Chemist,1
Assistant-Creamery,1
"Assistant-Demonstrator in Botany,R.C.Sc.I And Assistant to Curator of the Herbariam, National Merchant BA9Cantab)and Agricultural Diploma,Cambridge.",1
Assistant-Draper,8
Assistant-Drapery,4
Assistant-Dressmaker and Shop,1
Assistant-Dry Goods Warehouse,1
Assistant-Egg Merchant,1
Assistant-Farmer,1
Assistant-Forester General Labourer,1
Assistant-Fruit,1
Assistant-Grocer,3
Assistant-Grocer and Spirit Dealer,1
Assistant-Grocer's,1
Assistant-Groceris and c,2
Assistant-Grocers,1
Assistant-Grocery and Wine Trade,6
Assistant-House Keeper,5
Assistant-Housekeeper,3
Assistant-Ironmonger,1
Assistant-Keeper,3
Assistant-Landsteward Domestic Servant,1
Assistant-Minister of First Derry Presbyterian Church,1
Assistant-Postmistress,1
Assistant-School Teacher,1
Assistant-Shop,1
Assistant-Shopkeeper,4
Assistant-Stationer,1
Assistant-Stationer Shop,1
Assistant-Surveyor,1
Assistant-Tea Shope,1
Assistant-Teacher,1
Assistant-fancy Business,1
Assistant-in Linen House,1
Assistant. H Keeper,1
Assistant. H.M. Customs,1
Assistant; Tobacconist,1
Assistante,1
Assistanter,1
Assistantess,2
Assistants Chandlery Trade,4
Assistants Egg Merchant,1
Assistants Grocer,2
Assistants Housekeeper,1
Assistants Manager,1
Assistants Managereas Railway Megrestement and Forms,4
Assistants Office Clerk,1
Assistants Pawnbroker,1
Assistants Shop Keeper Tobaconist,2
Assistants Teacher at National School,1
Assistants at Home,2
Assistants to House Keeper,2
Assistants-Confectioners,1
Assistany at Home,1
Assistary House Work,2
Assistat Farming,2
Assistat Surveyor,1
Assistat in Shop,1
Assisted Poor,1
Assisted by Brother,1
Assisten Grocer,1
Assisten House Keeper,1
Assistenance Keeper,1
Assistenant,2
Assistence Shepherd,1
Assistend,1
Assistent,6
Assistent Croffer,1
Assistent Cut Fitter,1
Assistent Farmer,1
Assistent Granite Merchant,1
Assistent Grocer,1
Assistent Harbour Master,1
Assistent House Keeper,1
Assistent Merchant,2
Assistent Shopkeeper,1
Assistent in ?,1
Assistent in House,2
Assistent in Shop,2
Assistent in Wareroom,1
Assistentat Photo Shop,1
Assistents,4
Assister House Keeper,1
Assistiant Draperess,1
Assistiants,1
Assistin Farmer,1
Assistin House Keeper,1
Assisting,16
Assisting Above,13
Assisting Barmaid,1
Assisting Blacksmith,1
Assisting Carpenter,1
Assisting Clerk,1
Assisting Collector of Tolls,1
Assisting Domestic Affairs,1
Assisting Domestic Duties,1
Assisting Dress Keeper,1
Assisting Engineer,2
Assisting Export Merchant,2
Assisting Farm,1
Assisting Farm Work,2
Assisting Farmer,5
Assisting Farmers Son,5
Assisting Father,3
Assisting Father at Fowl Dealing,1
Assisting H Keeper,1
Assisting Head,4
Assisting Head of Family,3
Assisting Head of House,1
Assisting Herd,1
Assisting Home,1
Assisting House,1
Assisting House Keeper,15
Assisting House Keepers at Home,1
Assisting House Keeping,2
Assisting House Work,4
Assisting Household,3
Assisting Household Duties,1
Assisting Housekeepe,1
Assisting Housekeeper,15
Assisting Housekeeping,7
Assisting Housekeeping Domestic,2
Assisting Housekeeping Domestically,1
Assisting Housewife,1
Assisting Housework,1
Assisting Houskeeping,2
Assisting Husband on Farm,1
Assisting Keeper,1
Assisting Keeping,1
Assisting Keeping Lodging House,1
Assisting Lockkeeper G.C.C.,1
Assisting Minding Home,1
Assisting Mother,14
Assisting Mother at Home,1
Assisting Mothes to House Keeper,1
Assisting Nephew on Farm,1
Assisting Parents,2
Assisting Partner,1
Assisting Shop-Keeper,1
Assisting Sister,1
Assisting Son,2
Assisting above,1
Assisting an Farm,1
Assisting and Author of Surveyor,4
Assisting as Household,1
Assisting at Above,1
Assisting at Business,2
Assisting at Dary,1
Assisting at Domestic,1
Assisting at Farm,5
Assisting at Farm Work,1
Assisting at Farming,17
Assisting at Farmwork,2
Assisting at Herding,1
Assisting at Home,27
Assisting at Home Work,3
Assisting at Home in Tobacco Shop,1
Assisting at House,1
Assisting at House Keeping,2
Assisting at House Work,3
Assisting at House-Hold Duties,1
Assisting at House-Keeping,1
Assisting at Merchant,1
Assisting at Mothers Shop,1
Assisting at Office,2
Assisting at home,5
Assisting her Mother,6
Assisting her Mother (Domestic),1
Assisting her Mother at House,1
Assisting her Mother in the Above Duties,1
Assisting her Parents,2
Assisting his Brother,1
Assisting his Father,3
Assisting in Above,4
Assisting in Agricultural Labour,1
Assisting in Business,1
Assisting in Care of House,1
Assisting in Domestic Business,3
Assisting in Domestic Work,1
Assisting in Farm,11
Assisting in Farming,1
Assisting in Fowl Dealing,2
Assisting in General House Work,1
Assisting in Genrl House Work,1
Assisting in Holshouse,1
Assisting in Home,2
Assisting in Home Work,3
Assisting in Houise,1
Assisting in House,21
Assisting in House Duties,2
Assisting in House Keeper,1
Assisting in House Keeping,3
Assisting in House Keeping at Home,1
Assisting in House Keeping for her Brother,1
Assisting in House Work,9
Assisting in Household,36
Assisting in Household Work,1
Assisting in Housekeeper,2
Assisting in Housekeeping,2
Assisting in Housework,1
Assisting in Houshold,1
Assisting in M D Hall,1
Assisting in Own House,3
Assisting in Own Shop,1
Assisting in Pub House,1
Assisting in Shop,32
Assisting in Spirit Store,1
Assisting in above Trade,1
Assisting in farm Work,2
Assisting in her Fathers Shop,1
Assisting in herding,1
Assisting in house,3
Assisting in the Farm Work,3
Assisting in the House,1
Assisting in the Management of Farm,1
Assisting on Farm Work,1
Assisting on Farmer,4
Assisting on House,1
Assisting on Mother's Farm,1
Assisting on Mothers Farm,1
Assisting on Room,1
Assisting on the Farim,2
Assisting or a Farm,1
Assisting the Business of the House,2
Assisting the Farm,1
Assisting to Keep House,1
Assisting to Manage Farm,1
Assisting to Work Farm,2
Assisting with Farm Work,1
Assistings in House,1
Assistint Housekeeper,1
Assistity in Hotel,1
Assistn in Flaur Stores,1
Assistn. Housekeeper,1
Assistnig on Farm,1
Assistnt,1
Assistnt Clerk of Union,1
Assistnt Clerk of Works,1
Assistnt Forester,1
Assistnt Grocer Merchant,1
Assistnt House Keeper,1
Assistnt in Biscute F,1
Assistnt in Grocery Shop,1
"Assistnt, Supernt of Household",1
Assists Brothers to Keep House,1
Assists Farm Work,1
Assists Father,2
Assists Her Mother,1
Assists House Keeper,1
Assists House Work at Home,2
Assists Housekeeper,1
Assists Housekeeping,1
Assists Husband in Savings,1
Assists Mother,3
Assists Mother in Housekeeping,1
Assists With Home,1
Assists Work on the Farm,1
Assists as Houskeeper to her Father,1
Assists at Domestic Work in House,2
Assists at Farm Laborer,1
Assists at Farming,7
Assists at Herding,2
Assists at Home,34
Assists at Home Hardware,1
Assists at Home House Wok,1
Assists at Home House Work,4
Assists at Home Household,1
Assists at Home Houseward,1
Assists at Home Houswork,1
Assists at Home Unemployed,1
Assists at House Keeping,4
Assists at Housekeeping,2
Assists at Keeping House,1
Assists at Tailoring,1
Assists farm Work,1
Assists her Aunt in the Business,1
Assists her Mother,1
Assists her Mother in Household Work,1
Assists in Buisness,1
Assists in Business,1
Assists in Dairy,1
Assists in Domestic Duties,2
Assists in Farm,6
Assists in Farm House,1
Assists in Farm Work,3
Assists in Farm and Domestic Work,1
Assists in Farming,10
Assists in Home,2
Assists in Home House Work,1
Assists in Home Sert,1
Assists in Hotel,5
Assists in House,32
Assists in House Duties,4
Assists in House Keeping,16
Assists in House Only,1
Assists in House Work,2
Assists in House Work at Home,3
Assists in House and Farm,1
Assists in House and Shop,1
Assists in House-Keeping,2
Assists in Household,2
Assists in Housekeeping,13
Assists in Housework,1
Assists in Keeping House,1
Assists in Shop,7
Assists in Shop and C,2
Assists in Shop and P.O,2
Assists in the Business,1
Assists in the House,2
Assists in the Housework,1
Assists on a Farm,1
Assists on farm and the House,1
Assists or Farm,1
Assistsant Pawnbroker,1
Assistson the Farm,1
Assistt House Keeper,1
Assistt Housekeeper,1
Assistt School Teacher,1
Assistury in Farming,1
Assisty Forewoman,1
Assisty on Farm,1
Assit Builder,2
Assit Draper,1
Assit Grocer Spirit Merchant,2
Assit House Keeper,1
Assit Housekeeper,2
Assit Keeper,1
Assit Postman,1
Assit Shopkeeper,1
Assit Spirit B,1
Assit Tea Warehouse,1
Assit Teacher,1
Assit in Book Stall,1
Assit in Comery,1
Assit in Shop,1
Assit. Natl-Teacher,1
Assitan on Farmer,1
Assitans Coffe Stab,1
Assitant,3
Assitant - Post Mistress,1
Assitant Clerk of Merchant,1
Assitant Draper,1
Assitant Forester,1
Assitant H. Keeper,1
Assitant Hdkf Boxfolding,1
Assitant Housekeeper,1
Assitant Light Keeper,1
Assitant Merchant,2
Assitant Milliner,1
Assitant Shepherd,1
Assitant Timber Merchant,1
Assitant in Above,2
Assitant in Wine Store,1
Assitant in shop,1
Assitant on Farm,1
Assitent,3
Assiting Domestic Duties,2
Assiting House Keeping,1
Assiting Household,2
Assiting Household Duties,1
Assiting in House Work,1
Assiting in Household,4
Assiting in Household Duties,2
Assiting in Householder,1
Assiting in Shop,3
Assiting on Household,1
Assitnt Gamekeeper,1
Assits Home Work at Home,1
Assits at Home,1
Assitt House Keeper,1
Assittant School Teacher,1
Assitts at Home,1
Assnt in House Keeper,2
Associate Royal College of Music Teacher of Music A.R.C.M,1
Associate of Arts Oxford,1
Associate of Arts Queen's College Ordained Minister of the Regt Presbyterian Church of Ireland,1
Associate of the Royal College of Music London,1
Asst,3
Asst Accountant,1
Asst Acct Royal Bh of I,1
Asst Analyst,1
Asst Architect,1
Asst Baker,2
Asst Book Keeper,2
Asst Book-Keeper,1
Asst Butcher,2
Asst Caretaker,1
Asst Carpenter and Joiner,1
Asst Cashier Alliance Gas Co,1
Asst Cattle Dealer,1
Asst Civil Engineer,1
Asst Civil Servant Clerk,1
Asst Clerk,3
Asst Clerk Belfast Petty Session,1
Asst Clerk H M C S,1
Asst Clerk Lay Dept Pro.23 Rulard Sqra,2
Asst Clerk Minor,1
Asst Clerk Natl Educn Office,1
Asst Clerk and Store Keeper,1
Asst Clerk in Foundry,1
Asst Clerk in Linen Factory,1
Asst Clerk in Linen Trade,1
Asst Clerk in Weaving Factory,1
Asst Clerk of Ennistymon Union,1
Asst Clerk of Linen and District Council,1
Asst Clerk of Union,10
Asst Clerk of Union and Insurance Agent,1
Asst Clerk of Works Board of Works,1
Asst Clk Rathdorne Union,1
Asst Co Surveyor,5
Asst Co Surveyor and Farmer,1
Asst Co Survyor,1
Asst Coachman,1
Asst Comer Irish Land Conn,1
Asst Commercial Hse,1
Asst Commissioner Land,1
Asst County Duty Surveyor,1
Asst County Surveyor,2
Asst Court Keeper,1
Asst Creamery Manager,2
Asst Distiller,1
Asst Drain Tester,1
Asst Draper,3
Asst Draperess,1
Asst Dress Maker,1
Asst Dressmaker,1
Asst Dyer in Factory,1
Asst Engineer,1
Asst Engr,1
Asst Euph of Agents for Prudential Assurance Co. LD,1
Asst Examining Officer H M Custom,1
Asst Examr Landed Estates Court,1
Asst Farmer,14
Asst Fitter,2
Asst Foreman Boiler Smith,1
Asst Furniture Ware Rooms,1
Asst G her Mother,1
Asst Gapt Telegraphs,1
Asst Gardner,2
Asst Grocer,1
Asst Grocer and Spirit Merchant,1
Asst H K,1
Asst Harbour Master,1
Asst Hotel Keeper,1
Asst Hous Keeper,1
Asst House Agent,1
Asst House Holder,2
Asst House Keeper,39
Asst House Keeper and Cook,1
Asst House Painter,1
Asst House-Keeper,1
Asst Housekeeper,24
Asst Housekeer,1
Asst Housker,1
Asst Insp General R I C,1
Asst Inspector G P O Dublin,1
Asst Inspector of Postman G.P.O,1
Asst Inspr Tel Mesger,1
Asst Inspr Telegraph Messges,1
Asst Inspt G P O,1
Asst Inspt of Postman,1
Asst Insptr of Postman,1
Asst Insptr of Postmen,1
Asst Just (Fishery),1
Asst Keeper,2
Asst Labr Master,1
Asst Land Commission,1
Asst Land Commissioner,1
Asst Land Commr,1
Asst Land Surveyor,1
Asst Laundress,3
Asst Laundress Dom. Servant,1
Asst Librarian,1
Asst LightKeeper,1
Asst Locomotive Engineer,1
Asst Manager,1
Asst Manager Billposting Co,1
Asst Manager Shipbuilding,1
Asst Manager WHouse,1
Asst Manager in Creamery,1
Asst Manager in Gunpowder Mills,1
Asst Manager in Tannery,1
Asst Manageress,1
Asst Master,2
Asst Master Limk Union,1
Asst Matron,29
Asst Matron Irish Prison Service,2
Asst Miller,1
Asst Mother,2
Asst N S Teacher,1
Asst N School Teacher,1
Asst N. Teacher,1
Asst Nat School Teacher,1
Asst Nurse,1
Asst Organizer of Science National Education Office,1
Asst Pawn Broker,1
Asst Pawnbroker,2
Asst Pensioners MS Corps Offic Keeper,1
Asst Petty Session Clerk,1
Asst Petty Sessions Clerk,1
Asst Photographer,1
Asst Post Man,1
Asst Postman,7
Asst Postmaster,1
Asst Postmistress,5
Asst Provision and Grocery,1
Asst Railway Guard,1
Asst Rate Collector,1
Asst Register D. Birth,1
Asst Registrar D. Brth,1
Asst Registrar and C,1
Asst Regr of Bir this ? and Marriages Donnybrook District,1
Asst School Mrtss,2
Asst School Teacher,4
Asst Schoolmistress,1
Asst Sea Co Council,1
Asst Secretary Army and Navy Pensioners Emp?,1
Asst Secretary Y.M.C A.,1
Asst Secretary and Gas ?,1
Asst Secty Co Council,1
Asst Sexton R. C. Church,1
Asst Shepherd,5
Asst Shoemaker,1
Asst Shoolmistress Foyle College,1
Asst Shop Keeper,3
Asst Shop Keeper Grocer,2
Asst Shop Manager,1
Asst Shopkeeper,3
Asst Spdt Hamps In Rev,1
Asst Station Master,2
Asst Stendent Prudential Assurance,1
Asst Steward,3
Asst Stock Keeper,1
Asst Storekeeper G S and W R,1
Asst Storekeeper in Asylum,1
Asst Sub Post Mistress,1
Asst Sub Postmistress,1
Asst Sup Dt (Postel) Gpo Dublin,2
Asst Superentendent Post-Office,1
Asst Superintendent Postal Telegraphs,1
Asst Superintendent Prudential Assurance Co,1
Asst Supg Engineer P. O. Telegraphes,1
Asst Supt ?,1
Asst Supt Clare (Telegraph Dept G P O),1
Asst Supt Const Cable Co,1
Asst Supt G I O Dublin,1
Asst Supt G I O Dublin Superannuated,1
Asst Supt Gro,1
Asst Supt Post Office,1
Asst Supt Post Office Belfast,1
Asst Supt Postel Telegraphs,1
Asst Supt Prudential,1
Asst Supt S P O Dublin,1
Asst Supt Sorting Office G P O,1
Asst Supt Street Clean?,1
Asst Supt Telegraph,1
Asst Supt Telegraph Dept Superannuated,1
Asst Supt Telegraphs,1
Asst Supt. Postal Telegraphs,1
Asst Surveyor,1
Asst Surveyor of Faxes,1
Asst Svt Postmaster,1
Asst Tax Collector,1
Asst Teacher,9
Asst Teacher N.S.,1
Asst Teacher Nat Board,1
Asst Teacher in Grangyomur N. School,1
Asst Tobacco Mfg Co,1
Asst Tobbaconist,1
Asst Town Postman,2
Asst Vintner to Head of Family,1
Asst Waiter,1
Asst Warerooms,2
Asst Workmistress,3
Asst and Grocery Bar Rd,1
Asst and House Keeper,1
Asst and Housekeeper,1
Asst and Schoolmaster,1
Asst at Egg Trade,2
Asst at Home,1
Asst at House and Farm Work,2
Asst co Surveyor and c,1
Asst in Apron Warehouse,1
Asst in Book and C Shop,1
Asst in Home,1
Asst in Model Sch,1
Asst in Office and Farmer,1
Asst in Packing Room Laundry,1
Asst in Pefres Servant Room,1
Asst in Photograpers,1
Asst in Post Office,1
Asst in Shop,5
Asst in Stationers Shop,1
Asst in Store,1
Asst in Yarn Office,1
Asst of Business,1
Asst on Farm,1
Asst to Business,2
Asst to Grocery and Spirit Trade,1
Asst to Postmistress,1
Asst to Publican,1
Asst to Shop,1
Asst to his Father,2
"Asst, N.S. Mercy Convent",1
Asst-Examnr-HM Stationary Office,1
Asst-Factory Manager,1
Asst-Manager Linen Factory,1
Asst-Sch. Teacher,1
Asst-Van Driver,1
Asst-Victualler,1
Asst.,1
Asst. Apothecary (Unemployed),1
Asst. Caretaker,1
Asst. Cashier Tobacco Factory,1
Asst. Chief Inspector Gas Works,1
Asst. Clerk (Police Court Clerk),1
Asst. Clerk General Valuation Office,1
Asst. Clerk in Linen Warehouse,1
Asst. Clerk in Stock Brokers Office,1
Asst. Clerk of Linen,1
Asst. Co. Surveyor,3
Asst. Coachman Domestic Sevt,1
Asst. Con. Survyor,1
Asst. County Surveyor,1
Asst. Dairy Man,2
Asst. Elestl. Engineer,1
Asst. Engineer,1
Asst. Farmer,1
Asst. Gamekeeper,1
Asst. Gatekeeper,1
Asst. Grocer and C,2
Asst. H. Keeper,1
Asst. Harbour Master,1
Asst. Hardware and Grocer,1
Asst. Ho. Keeper,1
Asst. Hotel Porter,1
Asst. House Keeper,4
Asst. House Keeping,1
Asst. Housekeeper,2
Asst. Housekeepr,1
Asst. Lady Superintendent Royal Irish Academy of Music,1
Asst. Land Agent,1
Asst. Land Commissioner,1
Asst. Male Nurse,1
Asst. Manager of Tobacco Factory,1
Asst. Matron,4
Asst. N. S. Teacher,1
Asst. N. School Teacher,1
Asst. N.S. Teacher,2
Asst. Nat School Teacher,1
Asst. Nat. School Teacher,2
Asst. Nurse,1
Asst. Pawnbroker,1
Asst. Post-Mistress,1
Asst. Postman,3
Asst. Postmistress,1
Asst. Preparing Master Flax,1
Asst. Profesor in NP Training College,1
Asst. Publican,2
Asst. R.I.C,1
Asst. Rly. Storekeeper,1
Asst. School Teacher,1
Asst. Shopkeeper,1
Asst. Supt. Assur: Co.,1
Asst. Supt. Assurance,1
Asst. Supt. G.P.O Dublin,1
Asst. Supt. Post Office,1
Asst. Surveyor Bd. of P. Works Id.,1
Asst. Tailor,2
Asst. Teacher,8
Asst. Teacher N S.,1
Asst. Teacher N.S.,1
Asst. Teacher National School,1
Asst. Teacher-M. N. S,1
Asst. Teachers,1
Asst. Tel. Linesman,1
Asst. Telegraphist,2
Asst. on Farm,1
Asst. to Post Master,1
Asst. to Postmistress,1
Asst.Teacher,1
Asst: Librarian,1
Asstant,1
Asstant Bar Tender,1
Asstant Farmer,1
Asstant Grocer,1
Asstant Housekeeper,1
Asstant Lodge Keeper,1
Asstant Shop Keeper,1
Asstant in Bar,1
Asstg in Dairy Business,1
Asstic Grocery Store,2
Assting in Household Business,1
Asstmistress,1
Asstnt Boot and Shoe Business,1
Asstnt Draper,2
Asstnt Housekeeper,1
Assts Butcher,2
Assts Hous Keeper,1
Asstst Butcher,1
Asstst Housekeeper,1
Assuerance Agent,2
Assuran Agent,1
Assuranc Agent,1
Assurance Agent,197
Assurance Agent (Unemployed),1
Assurance Agent Fisher Man,1
Assurance Agent and Farmer,1
Assurance Agents,2
Assurance Agnet,1
Assurance Agt,2
Assurance Assist Superintendent,1
Assurance Assistant Superintendent,2
Assurance Asst Supt,2
Assurance Clerk,6
Assurance Co Agent,1
Assurance Co Agent to Prudential,1
Assurance Collector,7
Assurance Commisson Agent,2
Assurance District Superintendant,1
Assurance Gopt,1
Assurance Inspector,2
Assurance Manager,1
Assurance Secretary,2
Assurance Suferintendent,2
Assurance Superinteident,1
Assurance Superintendant,1
Assurance Superintendent,4
Assurance Superintendent of Agents,1
Assurance Superntendant,1
Assurance Suprintendent,1
Assurance Supt,3
Assurance Traveller,1
Assurance Traviler,1
Assurance agent,2
Assurance and Commission Agent,2
Assurance and House Agent,1
"Assurance, Agent Peail",1
Assurence Agent,3
Assurence Agent and Grocer,1
Assurence Business Asst Superintendent,1
Assylum Attendant,2
Ast Book Dom Servant,1
Ast Bricklayer (Emp),1
Ast Cellarman Whisky,1
Ast Clerk B Works,1
Ast Clerk Rural District County North Dublin,1
Ast Creamery Manager,1
Ast Decoratif Merchant,1
Ast Farmer,4
Ast Foreman Army Old Dept,1
Ast H Keeper,2
Ast Hallmaid in Asylum,1
Ast Housekeeper,1
Ast Laundress,1
Ast Manager Butter Factory,1
Ast Matron,1
Ast Night Nurse in Asylum,3
Ast P.O,1
Ast Packer,1
Ast Paymaster R.N. Reserve Superintendent Customs,1
Ast Postman,1
Ast Regr of Births of ?,1
Ast School Teacher,1
Ast Sergt R I C,1
Ast Servant,3
Ast Yarn Dryer,1
Ast on Farm,1
Ast. Druggist,1
Ast. Harbour Master,1
Ast. Pawnbroker,1
Ast. Post Mistress,1
Ast. Superintendent,1
Ast. Teacher,1
Ast. of County Council,1
Astant,1
Astant B S,1
Astillery Pensioner,1
Astist,1
Astronomer,2
Astronomer B.A. Int BSc. F.R.A.S (University of London),1
"Astronomer M.A., Phil.D;",1
Asty Draper,1
Asylam Attendant,1
Asylam Attendent Unemployed,1
Asylm Nurse,1
Asylmic ?tion,1
Asylum,1
Asylum A Ironmould,1
Asylum Atendant,1
