occupation,corrected_occupation
Fisher,Fisher
Linen Manufacturer,Linen Manufacturer
Bill Poster,Bill Poster
Shop Apprentice,Shop Apprentice
Sempstress,Seamstress
Stableman,Stableman
Not,Not
Coach Man Domestic Servant,Coach Man Domestic Servant
School Master,Schoolmaster
General Draper,General Draper
Poultry Dealer,Poultry Dealer
Brewers Labourer,Brewers Labourer
Daughter of Farmer,Daughter of Farmer
Stonemason,Stonemason
Attending a School,Attending a School
Medical Doctor,Medical Doctor
G Servant Domestic,General Domestic Servant
Winder Linen,Winder Linen
Pattern Maker,Pattern Maker
Insurance Clerk,Insurance Clerk
Seamtress,Seamstress
Cardriver,Cardriver
Bar Man,Barman
Work on Farm,Work on Farm
Constable R.I.C.,Constable R.I.C.
Boarding House,Boarding House
Building Contractor,Building Contractor
Ship Joiner,Ship Joiner
Warp Winder,Warp Winder
Linen Warper,Linen Warper
Power Loom Weaver,Power Loom Weaver
Plough Man,Plough Man
Schoolmistress,Schoolmistress
House Owner,House Owner
General Servant D,General Servant D
Parlour Maid Domestic,Parlour Maid Domestic
House-Wife,Housewife
Polisher,Polisher
Labourer in Factory,Labourer in Factory
Groom Domestic,Groom Domestic
Washwoman,Washwoman
Cotton Spinner,Cotton Spinner
Cook-Domestic Servt,Cook Domestic Servant
Warper,Warper
Embroidery,Embroidery
Bookeeper,Bookkeeper
Boot-Maker,Bootmaker
No Buisness,No Business
No occupation,No occupation
Domestic Servant House Maid,Housemaid Domestic Servant
Boat Builder,Boat Builder
G. Labourer,General Labourer
